ciad,codigoOACI,airport_name,state,city,altitude,latgeopoint,longeopoint,latitude,longitude
SP0004,SBRP,Leite Lopes,São Paulo,RIBEIRÃO PRETO,550.0,-21.136389,-47.776667,"21°08'11""S","047°46'36""W"
AM0004,SBTF,Prefeito Orlando Marinho,Amazonas,TEFÉ,57.0,-3.3802778,-64.725278,"03°22'49""S","064°43'31""W"
MT0023,SWPY,Primavera do Leste,Mato Grosso,PRIMAVERA DO LESTE,655.0,-15.5625,-54.330556,"15°33'45""S","054°19'50""W"
GO0019,SWIQ,Aeroporto Municipal José Caires de Oliveira,Goiás,MINAÇU,427.0,-13.549167,-48.195556,"13°32'57""S","048°11'44""W"
SC0006,SBCD,Prefeito Dr. Carlos Alberto da Costa Neves,Santa Catarina,CAÇADOR,1029.0,-26.788056,-50.94,"26°47'17""S","050°56'24""W"
GO0003,SBCN,Nelson Rodrigues Guimarães,Goiás,CALDAS NOVAS,703.0,-17.725,-48.606389,"17°43'30""S","048°36'23""W"
RO0003,SBVH,Vilhena,Rondônia,VILHENA,615.0,-12.694444,-60.098333,"12°41'40""S","060°05'54""W"
SC0017,SSXX,Municipal João Winckler,Santa Catarina,XANXERÊ,910.0,-26.875,-52.372778,"26°52'30""S","052°22'22""W"
SC0005,SBJA,Regional Sul,Santa Catarina,JAGUARUNA,35.0,-28.675278,-49.059444,"28°40'31""S","049°03'34""W"
PI0004,SWKQ,Serra da Capivara/São Raimundo Nonato,Piauí,SÃO RAIMUNDO NONATO,415.0,-9.0833333,-42.644722,"09°05'00""S","042°38'41""W"
RS0046,SSNG,HELIO ALVES DE OLIVEIRA,Rio Grande do Sul,MONTENEGRO,24.0,-29.719722,-51.488889,"29°43'11""S","051°29'20""W"
MG0003,SBBH,Pampulha - Carlos Drummond de Andrade,Minas Gerais,BELO HORIZONTE,789.0,-19.851944,-43.950556,"19°51'07""S","043°57'02""W"
CE0007,SNIG,Iguatu,Ceará,IGUATU,215.0,-6.3466667,-39.294444,"06°20'48""S","039°17'40""W"
SC0003,SBCH,Serafin Enoss Bertaso,Santa Catarina,CHAPECÓ,654.0,-27.133889,-52.658889,"27°08'02""S","052°39'32""W"
SP0005,SBDN,Presidente Prudente,São Paulo,PRESIDENTE PRUDENTE,452.0,-22.175,-51.424444,"22°10'30""S","051°25'28""W"
RS0003,SBSM,Santa Maria,Rio Grande do Sul,SANTA MARIA,88.0,-29.710833,-53.692222,"29°42'39""S","053°41'32""W"
MG0007,SBIP,Usiminas,Minas Gerais,SANTANA DO PARAÍSO,240.0,-19.470556,-42.488056,"19°28'14""S","042°29'17""W"
MG0012,SNFE,Comandante Paschoal Patrocínio Filho,Minas Gerais,ALFENAS,881.0,-21.431389,-45.932222,"21°25'53""S","045°55'56""W"
MG0006,SBZM,Presidente Itamar Franco,Minas Gerais,GOIANÁ,412.0,-21.513056,-43.173056,"21°30'47""S","043°10'23""W"
SC0014,SSJA,Santa Terezinha,Santa Catarina,JOAÇABA,782.0,-27.171389,-51.553333,"27°10'17""S","051°33'12""W"
MS0009,SBCR,Corumbá,,,141.0,-19.011944,-57.671389,"19°00'43""S","057°40'17""W"
MG0009,SBUR,Mario de Almeida Franco,Minas Gerais,UBERABA,809.0,-19.764722,-47.966111,"19°45'53""S","047°57'58""W"
BA0251,SN3Y,Novo Aeroporto de Bom Jesus da Lapa,Bahia,BOM JESUS DA LAPA,443.0,-13.2725,-43.314722,"13°16'21""S","043°18'53""W"
PI0009,SNPC,Picos,Piauí,PICOS,335.0,-7.0613889,-41.525833,"07°03'41""S","041°31'33""W"
MG0025,SNXB,Caxambu,Minas Gerais,CAXAMBU,874.0,-21.9175,-44.969444,"21°55'03""S","044°58'10""W"
AP0002,SBOI,Oiapoque,Amapá,OIAPOQUE,16.0,3.85416667,-51.797222,"03°51'15""N","051°47'50""W"
GO0013,SWWU,Uruaçu,Goiás,URUAÇU,520.0,-14.544722,-49.091111,"14°32'41""S","049°05'28""W"
PB0006,SNQD,Sousa,Paraíba,SOUSA,227.0,-6.7855556,-38.233889,"06°47'08""S","038°14'02""W"
PI0002,SBPB,Prefeito Doutor João Silva Filho,Piauí,PARNAÍBA,7.0,-2.8933333,-41.730278,"02°53'36""S","041°43'49""W"
GO0008,SWJW,Jataí,Goiás,JATAÍ,771.0,-17.83,-51.775278,"17°49'48""S","051°46'31""W"
MG0038,SNZA,Pouso Alegre,Minas Gerais,POUSO ALEGRE,885.0,-22.288889,-45.919444,"22°17'20""S","045°55'10""W"
SC0011,SSVI,Ângelo Ponzoni,Santa Catarina,VIDEIRA,843.0,-26.999722,-51.141389,"26°59'59""S","051°08'29""W"
GO0002,SBNV,Aeródromo Nacional de Aviação,Goiás,GOIÂNIA,824.0,-16.625556,-49.349444,"16°37'32""S","049°20'58""W"
PE0009,SNAB,Araripina,Pernambuco,ARARIPINA,740.0,-7.5863889,-40.535278,"07°35'11""S","040°32'07""W"
RS0052,SSKK,Capão da Canoa,Rio Grande do Sul,CAPÃO DA CANOA,10.0,-29.763611,-50.036944,"29°45'49""S","050°02'13""W"
PR0010,SSPI,Edu Chaves,Paraná,PARANAVAÍ,474.0,-23.09,-52.488611,"23°05'24""S","052°29'19""W"
SP0076,SBGW,Guaratinguetá,São Paulo,GUARATINGUETÁ,537.0,-22.791667,-45.204444,"22°47'30""S","045°12'16""W"
MS0012,SSCI,Coxim,Mato Grosso do Sul,COXIM,294.0,-18.481389,-54.715833,"18°28'53""S","054°42'57""W"
MT0014,SWXM,Regional Orlando Villas Boas,Mato Grosso,MATUPÁ,270.0,-10.17,-54.953889,"10°10'12""S","054°57'14""W"
MS0020,SSMJ,Maracaju,Mato Grosso do Sul,MARACAJU,390.0,-21.633889,-55.145,"21°38'02""S","055°08'42""W"
MT0009,SWBG,André Antônio Maggi,Mato Grosso,PONTES E LACERDA,247.0,-15.193333,-59.385278,"15°11'36""S","059°23'07""W"
RS0045,SSIQ,Itaqui,Rio Grande do Sul,ITAQUI,84.0,-29.171944,-56.538333,"29°10'19""S","056°32'18""W"
AM0010,SWKO,Coari,Amazonas,COARI,40.0,-4.1341667,-63.1325,"04°08'03""S","063°07'57""W"
MG0041,SNNU,Nanuque,Minas Gerais,NANUQUE,200.0,-17.823056,-40.329722,"17°49'23""S","040°19'47""W"
MG0454,SJO7,Municipal Elber Pereira,Minas Gerais,IPANEMA,252.0,-19.832222,-41.696111,"19°49'56""S","041°41'46""W"
BA0047,SNJK,Jequié,Bahia,JEQUIÉ,197.0,-13.877778,-40.071389,"13°52'40""S","040°04'17""W"
PB0012,SIBU,JERÔNIMO SÉRGIO ROSADO MAIA,Paraíba,CATOLÉ DO ROCHA,272.0,-6.3625,-37.755278,"06°21'45""S","037°45'19""W"
PR0015,SSCP,Francisco Lacerda Júnior,Paraná,CORNÉLIO PROCÓPIO,567.0,-23.1525,-50.6025,"23°09'09""S","050°36'09""W"
SP0050,SDTF,Tatuí,São Paulo,TATUÍ,635.0,-23.331944,-47.88,"23°19'55""S","047°52'48""W"
RS0040,SSAE,Arroio Grande,Rio Grande do Sul,ARROIO GRANDE,49.0,-32.229167,-53.055833,"32°13'45""S","053°03'21""W"
RO0008,SJOG,Ariquemes,Rondônia,ARIQUEMES,142.0,-9.8805556,-63.047222,"09°52'50""S","063°02'50""W"
RS0020,SSGA,Garibaldi,Rio Grande do Sul,GARIBALDI,680.0,-29.268333,-51.532222,"29°16'06""S","051°31'56""W"
TO0003,SDPE,Porto Nacional,Tocantins,PORTO NACIONAL,270.0,-10.718056,-48.398889,"10°43'05""S","048°23'56""W"
MA0004,SNYE,Pinheiro,Maranhão,PINHEIRO,20.0,-2.4775,-45.105,"02°28'39""S","045°06'18""W"
MG0078,SNNE,Sebastião Carlos Leite,Minas Gerais,SÃO JOÃO NEPOMUCENO,403.0,-21.542222,-43.021111,"21°32'32""S","043°01'16""W"
BA0253,SJO9,Senhor do Bonfim,Bahia,SENHOR DO BONFIM,466.0,-10.518611,-40.081944,"10°31'07""S","040°04'55""W"
MG0056,SNCT,Caratinga,Minas Gerais,UBAPORANGA,599.0,-19.725278,-42.112222,"19°43'31""S","042°06'44""W"
MG0037,SNLO,São Lourenço,Minas Gerais,SÃO LOURENÇO,875.0,-22.090833,-45.044444,"22°05'27""S","045°02'40""W"
RS0014,SSSB,São Borja,Rio Grande do Sul,SÃO BORJA,80.0,-28.654722,-56.034722,"28°39'17""S","056°02'05""W"
BA0054,SDFX,Casa Nova,Bahia,CASA NOVA,405.0,-9.1575,-40.9375,"09°09'27""S","040°56'15""W"
RS0034,SSRU,São Lourenço do Sul,Rio Grande do Sul,SÃO LOURENÇO DO SUL,27.0,-31.384722,-52.0325,"31°23'05""S","052°01'57""W"
RS0031,SSEP,São Sepé,Rio Grande do Sul,SÃO SEPÉ,153.0,-30.182222,-53.579444,"30°10'56""S","053°34'46""W"
RS0032,SSIJ,Ijuí,Rio Grande do Sul,IJUÍ,365.0,-28.368611,-53.846389,"28°22'07""S","053°50'47""W"
BA0045,SNIB,Itaberaba,Bahia,ITABERABA,283.0,-12.499722,-40.270278,"12°29'59""S","040°16'13""W"
PA0002,SBSN,Maestro Wilson Fonseca,Pará,SANTARÉM,60.0,-2.4247222,-54.785833,"02°25'29""S","054°47'09""W"
MG0017,SNMK,Mocambinho,Minas Gerais,JAÍBA,450.0,-15.093056,-43.979167,"15°05'35""S","043°58'45""W"
MT0015,SWDM,Diamantino,Mato Grosso,DIAMANTINO,469.0,-14.376667,-56.400556,"14°22'36""S","056°24'02""W"
BA0031,SNMJ,Maracás,Bahia,MARACÁS,962.0,-13.386111,-40.466111,"13°23'10""S","040°27'58""W"
AM0009,SWEI,Eirunepé,Amazonas,EIRUNEPÉ,127.0,-6.6394444,-69.879722,"06°38'22""S","069°52'47""W"
AM0007,SWCA,Carauari,Amazonas,CARAUARI,108.0,-4.8713889,-66.8975,"04°52'17""S","066°53'51""W"
BA0053,SNTQ,Buritirama,Bahia,BURITIRAMA,499.0,-10.721667,-43.653611,"10°43'18""S","043°39'13""W"
SP0038,SDIG,Ibitinga,São Paulo,IBITINGA,542.0,-21.747222,-48.855833,"21°44'50""S","048°51'21""W"
BA0046,SNIT,Ibotirama,Bahia,IBOTIRAMA,422.0,-12.168333,-43.2225,"12°10'06""S","043°13'21""W"
MT0017,SWKC,Cáceres,Mato Grosso,CÁCERES,151.0,-16.0425,-57.63,"16°02'33""S","057°37'48""W"
PR0031,SSLO,Attillio Accorsi,Paraná,LOANDA,470.0,-22.917778,-53.149722,"22°55'04""S","053°08'59""W"
CE0005,SNWS,Crateús,Ceará,CRATEÚS,318.0,-5.2111111,-40.704167,"05°12'40""S","040°42'15""W"
BA0034,SSRF,Castro Alves,Bahia,CASTRO ALVES,261.0,-12.767778,-39.444722,"12°46'04""S","039°26'41""W"
AM0012,SBIC,Itacoatiara,Amazonas,ITACOATIARA,43.0,-3.1263889,-58.481667,"03°07'35""S","058°28'54""W"
GO0014,SWFR,Formosa,Goiás,FORMOSA,973.0,-15.556111,-47.344722,"15°33'22""S","047°20'41""W"
MA0009,SNRX,Riachão,Maranhão,RIACHÃO,400.0,-7.3463889,-46.6275,"07°20'47""S","046°37'39""W"
SP0057,SDJO,São Joaquim da Barra,São Paulo,SÃO JOAQUIM DA BARRA,650.0,-20.593333,-47.842222,"20°35'36""S","047°50'32""W"
MG0029,SNSS,Salinas,Minas Gerais,SALINAS,763.0,-16.208333,-42.321944,"16°12'30""S","042°19'19""W"
PA0014,SNOX,Oriximiná,Pará,ORIXIMINÁ,80.0,-1.7136111,-55.835833,"01°42'49""S","055°50'09""W"
SP0060,SDNH,Novo Horizonte,São Paulo,NOVO HORIZONTE,465.0,-21.497778,-49.234444,"21°29'52""S","049°14'04""W"
SC0013,SSTB,Três Barras,Santa Catarina,TRÊS BARRAS,789.0,-26.135278,-50.310556,"26°08'07""S","050°18'38""W"
BA0056,SNSE,Sento Sé,Bahia,SENTO SÉ,398.0,-9.7575,-41.855,"09°45'27""S","041°51'18""W"
SP0051,SDCA,Capão Bonito,São Paulo,CAPÃO BONITO,714.0,-24.033611,-48.356944,"24°02'01""S","048°21'25""W"
MT0012,SWTS,Tangará da Serra,Mato Grosso,TANGARÁ DA SERRA,449.0,-14.661944,-57.443889,"14°39'43""S","057°26'38""W"
TO0001,SBPJ,Brigadeiro Lysias Rodrigues,Tocantins,PALMAS,236.0,-10.29,-48.357778,"10°17'24""S","048°21'28""W"
DF0001,SBBR,Presidente Juscelino Kubitschek,Distrito Federal,BRASÍLIA,1066.0,-15.871111,-47.918611,"15°52'16""S","047°55'07""W"
AM0023,SWYN,Apuí,Amazonas,APUÍ,60.0,-7.1722222,-59.838889,"07°10'20""S","059°50'20""W"
PE0008,SNSG,Salgueiro,Pernambuco,SALGUEIRO,469.0,-8.0466667,-39.133889,"08°02'48""S","039°08'02""W"
PR0023,SSGY,Guaíra,Paraná,GUAÍRA,271.0,-24.079722,-54.188056,"24°04'47""S","054°11'17""W"
PA0015,SNVS,Breves,Pará,BREVES,30.0,-1.6363889,-50.443333,"01°38'11""S","050°26'36""W"
RS0029,SSSC,Santa Cruz do Sul,Rio Grande do Sul,SANTA CRUZ DO SUL,199.0,-29.684167,-52.412222,"29°41'03""S","052°24'44""W"
AC0004,SBTK,Tarauacá,Acre,TARAUACÁ,192.0,-8.1552778,-70.783056,"08°09'19""S","070°46'59""W"
MS0013,SSPM,Porto Murtinho,Mato Grosso do Sul,PORTO MURTINHO,132.0,-21.712778,-57.879167,"21°42'46""S","057°52'45""W"
MA0005,SNBI,Bacabal,Maranhão,BACABAL,21.0,-4.2280556,-44.819722,"04°13'41""S","044°49'11""W"
GO0029,SWPR,Pires do Rio,Goiás,PIRES DO RIO,781.0,-17.318889,-48.335278,"17°19'08""S","048°20'07""W"
MG0044,SNQV,Curvelo,Minas Gerais,CURVELO,672.0,-18.749444,-44.458056,"18°44'58""S","044°27'29""W"
SP0059,SDMH,Mirassol,São Paulo,MIRASSOL,584.0,-20.807222,-49.486111,"20°48'26""S","049°29'10""W"
MG0042,SNPJ,Patrocínio,Minas Gerais,PATROCÍNIO,985.0,-18.909167,-46.982778,"18°54'33""S","046°58'58""W"
SP0040,SDPV,Presidente Venceslau,São Paulo,PRESIDENTE VENCESLAU,445.0,-21.893333,-51.884444,"21°53'36""S","051°53'04""W"
GO0030,SJVO,Aragarças,Goiás,ARAGARÇAS,323.0,-15.899444,-52.240833,"15°53'58""S","052°14'27""W"
RS0023,SSNH,Novo Hamburgo,Rio Grande do Sul,NOVO HAMBURGO,15.0,-29.699167,-51.081944,"29°41'57""S","051°04'55""W"
MA0007,SJBY,João Silva,Maranhão,SANTA INÊS,21.0,-3.6544444,-45.345278,"03°39'16""S","045°20'43""W"
RS0017,SSSD,Soledade,Rio Grande do Sul,SOLEDADE,673.0,-28.863333,-52.540556,"28°51'48""S","052°32'26""W"
RJ0011,SDTK,Paraty,Rio de Janeiro,PARATY,3.0,-23.223889,-44.723333,"23°13'26""S","044°43'24""W"
RJ0007,SDRS,Resende,,,402.0,-22.478611,-44.481667,"22°28'43""S","044°28'54""W"
BA0061,SSQP,Monte Santo,Bahia,MONTE SANTO,442.0,-10.465278,-39.286111,"10°27'55""S","039°17'10""W"
MG0070,SNKD,Conceição do Mato Dentro,Minas Gerais,CONCEIÇÃO DO MATO DENTRO,668.0,-19.018611,-43.435278,"19°01'07""S","043°26'07""W"
PI0008,SNOE,Oeiras,Piauí,OEIRAS,266.0,-7.0183333,-42.167222,"07°01'06""S","042°10'02""W"
RS0021,SSLG,São Luiz Gonzaga,Rio Grande do Sul,SÃO LUIZ GONZAGA,200.0,-28.376389,-55.0375,"28°22'35""S","055°02'15""W"
TO0006,SWDN,Dianópolis,Tocantins,DIANÓPOLIS,736.0,-11.595278,-46.847778,"11°35'43""S","046°50'52""W"
BA0062,SNJB,Jacobina,Bahia,JACOBINA,489.0,-11.163056,-40.553333,"11°09'47""S","040°33'12""W"
MS0018,SSCL,Cassilândia,Mato Grosso do Sul,CASSILÂNDIA,481.0,-19.146944,-51.676389,"19°08'49""S","051°40'35""W"
MG0048,SNTO,Juscelino Kubitscheck,Minas Gerais,TEÓFILO OTONI,480.0,-17.890833,-41.515,"17°53'27""S","041°30'54""W"
MT0016,SWVC,Vila Rica,Mato Grosso,VILA RICA,254.0,-9.9811111,-51.140556,"09°58'52""S","051°08'26""W"
AM0020,SWMW,Maués,Amazonas,MAUÉS,21.0,-3.3719444,-57.724722,"03°22'19""S","057°43'29""W"
MG0073,SNPU,COMANDANTE VIRGILIO BORIM,Minas Gerais,PARAGUAÇU,898.0,-21.561389,-45.754722,"21°33'41""S","045°45'17""W"
GO0028,SJ4Y,Morrinhos,Goiás,MORRINHOS,803.0,-17.761667,-49.121667,"17°45'42""S","049°07'18""W"
MG0311,SJXI,Santa Rita do Sapucaí,Minas Gerais,SANTA RITA DO SAPUCAÍ,882.0,-22.272778,-45.64,"22°16'22""S","045°38'24""W"
MT0018,SIZX,Juara Sul,Mato Grosso,JUARA,302.0,-11.296667,-57.548889,"11°17'48""S","057°32'56""W"
MG0020,SNAG,Araguari,Minas Gerais,ARAGUARI,947.0,-18.668056,-48.190278,"18°40'05""S","048°11'25""W"
PR0024,SSAB,Moisés Lupion,Paraná,IBAITI,636.0,-23.762778,-50.263056,"23°45'46""S","050°15'47""W"
BA0025,SDKJ,Formosa do Rio Preto,Bahia,FORMOSA DO RIO PRETO,511.0,-11.021111,-45.187222,"11°01'16""S","045°11'14""W"
MG0049,SNRZ,Oliveira,Minas Gerais,OLIVEIRA,1015.0,-20.714444,-44.865278,"20°42'52""S","044°51'55""W"
SP0070,SDVE,Vera Cruz,São Paulo,VERA CRUZ,640.0,-22.230278,-49.816944,"22°13'49""S","049°49'01""W"
SP0073,SDTI,Tupi Paulista,São Paulo,TUPI PAULISTA,365.0,-21.393056,-51.598889,"21°23'35""S","051°35'56""W"
MG0036,SNJP,João Pinheiro,Minas Gerais,JOÃO PINHEIRO,911.0,-17.7875,-46.120278,"17°47'15""S","046°07'13""W"
PR0036,SSPS,Dimorvan Carraro,Paraná,PALMAS,1100.0,-26.472222,-51.975556,"26°28'20""S","051°58'32""W"
SP0043,SSOI,Pederneiras,São Paulo,PEDERNEIRAS,536.0,-22.307222,-48.773056,"22°18'26""S","048°46'23""W"
MA0006,SNBC,Barra do Corda,Maranhão,BARRA DO CORDA,160.0,-5.5025,-45.216111,"05°30'09""S","045°12'58""W"
RO0001,SBPV,Governador Jorge Teixeira de Oliveira,Rondônia,PORTO VELHO,90.0,-8.7136111,-63.902778,"08°42'49""S","063°54'10""W"
PR0016,SSCR,Balduino Helmuth Jope,Paraná,MARECHAL CÂNDIDO RONDON,421.0,-24.512778,-54.054722,"24°30'46""S","054°03'17""W"
SP0066,SDPY,Pirassununga,São Paulo,PIRASSUNUNGA,683.0,-22.027778,-47.421667,"22°01'40""S","047°25'18""W"
SP0064,SDJC,Jaboticabal,São Paulo,JABOTICABAL,615.0,-21.230833,-48.285556,"21°13'51""S","048°17'08""W"
BA0032,SNQU,Mucugê,Bahia,MUCUGÊ,1055.0,-13.031667,-41.444444,"13°01'54""S","041°26'40""W"
RJ0008,SDUN,Itaperuna,Rio de Janeiro,ITAPERUNA,110.0,-21.219167,-41.875833,"21°13'09""S","041°52'33""W"
SP0054,SDFD,Coronel Aviador Carlos Orleans Guimarães,São Paulo,FERNANDÓPOLIS,499.0,-20.276667,-50.213889,"20°16'36""S","050°12'50""W"
MG0058,SNUB,Ubá,Minas Gerais,UBÁ,317.0,-21.12,-42.883611,"21°07'12""S","042°53'01""W"
MT0047,SDNM,Brigadeiro Eduardo Gomes,Mato Grosso,NOVA MUTUM,430.0,-13.821111,-56.038611,"13°49'16""S","056°02'19""W"
RS0044,SSMT,Mostardas,Rio Grande do Sul,MOSTARDAS,18.0,-31.101111,-50.908056,"31°06'04""S","050°54'29""W"
MG0047,SNYB,Tito Teixeira,Minas Gerais,ITUIUTABA,612.0,-19.001389,-49.487222,"19°00'05""S","049°29'14""W"
PR0034,SSUV,José Cleto,Paraná,UNIÃO DA VITÓRIA,750.0,-26.231944,-51.0675,"26°13'55""S","051°04'03""W"
SP0055,SDGC,Garça,São Paulo,GARÇA,664.0,-22.183611,-49.656111,"22°11'01""S","049°39'22""W"
AM0022,SWTP,SANTA ISABEL DO RIO NEGRO,Amazonas,SANTA ISABEL DO RIO NEGRO,43.0,-0.37861111,-64.993056,"00°22'43""S","064°59'35""W"
CE0010,SNQX,Quixadá,Ceará,QUIXADÁ,225.0,-4.9788889,-38.987778,"04°58'44""S","038°59'16""W"
SP0045,SDAA,Araras,São Paulo,ARARAS,685.0,-22.336944,-47.358333,"22°20'13""S","047°21'30""W"
SP0028,SDRR,Avaré-Arandu,São Paulo,AVARÉ,798.0,-23.092222,-48.987222,"23°05'32""S","048°59'14""W"
AM0019,SWHT,Humaitá,Amazonas,HUMAITÁ,70.0,-7.5347222,-63.072222,"07°32'05""S","063°04'20""W"
SP0013,SNBA,Chafei Amsei,São Paulo,BARRETOS,580.0,-20.585556,-48.595833,"20°35'08""S","048°35'45""W"
RS0004,SNEE,Vacaria Novo,Rio Grande do Sul,VACARIA,914.0,-28.431944,-51.022778,"28°25'55""S","051°01'22""W"
SP0042,SDUQ,Paraguaçu Paulista,São Paulo,PARAGUAÇU PAULISTA,486.0,-22.426944,-50.606944,"22°25'37""S","050°36'25""W"
SC0019,SSBL,Blumenau,Santa Catarina,BLUMENAU,18.0,-26.831667,-49.093611,"26°49'54""S","049°05'37""W"
AM0011,SWNK,Novo Campo,Amazonas,BOCA DO ACRE,120.0,-8.8347222,-67.3125,"08°50'05""S","067°18'45""W"
PR0033,SSSZ,Sertanópolis,Paraná,SERTANÓPOLIS,361.0,-23.061944,-51.013889,"23°03'43""S","051°00'50""W"
MA0010,SNBS,Balsas,Maranhão,BALSAS,284.0,-7.5252778,-46.053333,"07°31'31""S","046°03'12""W"
PR0032,SSAN,João Galdino,Paraná,ANDIRÁ,490.0,-23.027222,-50.226944,"23°01'38""S","050°13'37""W"
MG0054,SNUH,Piumhi,Minas Gerais,PIUMHI,751.0,-20.438889,-45.992222,"20°26'20""S","045°59'32""W"
AM0013,SWII,Ipiranga,Amazonas,SANTO ANTÔNIO DO IÇÁ,67.0,-2.9402778,-69.694167,"02°56'25""S","069°41'39""W"
MS0016,SSNQ,Nioaque,Mato Grosso do Sul,NIOAQUE,202.0,-21.184444,-55.831111,"21°11'04""S","055°49'52""W"
BA0020,SNIE,Caetité,Bahia,CAETITÉ,976.0,-14.012222,-42.493889,"14°00'44""S","042°29'38""W"
PA0018,SNEB,Nagib Demachki,Pará,PARAGOMINAS,135.0,-3.0197222,-47.316389,"03°01'11""S","047°18'59""W"
PE0004,SNRU,Caruaru,Pernambuco,CARUARU,576.0,-8.2844444,-36.010833,"08°17'04""S","036°00'39""W"
SP0032,SDBY,Bariri,São Paulo,BARIRI,493.0,-22.069167,-48.706389,"22°04'09""S","048°42'23""W"
SP0046,SDAD,Everaldo Moraes Barreto,São Paulo,ADAMANTINA,425.0,-21.696111,-51.096389,"21°41'46""S","051°05'47""W"
BA0002,SBPS,Porto Seguro,Bahia,PORTO SEGURO,51.0,-16.438056,-39.077778,"16°26'17""S","039°04'40""W"
PR0035,SSGB,Municipal de Guaratuba,Paraná,GUARATUBA,15.0,-25.880556,-48.612222,"25°52'50""S","048°36'44""W"
ES0005,SNBG,Baixo Guandu - Aimorés,Espírito Santo,BAIXO GUANDU,80.0,-19.498889,-41.041944,"19°29'56""S","041°02'31""W"
GO0024,SWCZ,Ceres,Goiás,CERES,598.0,-15.343889,-49.604444,"15°20'38""S","049°36'16""W"
SP0030,SSRG,Aeroporto Estadual de Registro,São Paulo,REGISTRO,25.0,-24.531667,-47.840278,"24°31'54""S","047°50'25""W"
AM0003,SBUA,São Gabriel da Cachoeira,Amazonas,SÃO GABRIEL DA CACHOEIRA,76.0,-0.14805556,-66.985833,"00°08'53""S","066°59'09""W"
MG0022,SNAS,Três Marias,Minas Gerais,TRÊS MARIAS,786.0,-18.225,-45.190556,"18°13'30""S","045°11'26""W"
MG0059,SNCZ,Ponte Nova,Minas Gerais,PONTE NOVA,572.0,-20.403056,-42.916667,"20°24'11""S","042°55'00""W"
PR0011,SSPG,Santos Dumont,Paraná,PARANAGUÁ,11.0,-25.540278,-48.531111,"25°32'25""S","048°31'52""W"
MT0013,SWXV,Nova Xavantina,Mato Grosso,NOVA XAVANTINA,308.0,-14.697778,-52.347222,"14°41'52""S","052°20'50""W"
BA0028,SNBX,Barra,Bahia,BARRA,389.0,-11.081111,-43.1475,"11°04'52""S","043°08'51""W"
PR0026,SSMR,Manoel Ribas,Paraná,MANOEL RIBAS,886.0,-24.529444,-51.651667,"24°31'46""S","051°39'06""W"
MG0031,SNCA,Campo Belo,Minas Gerais,CAMPO BELO,970.0,-20.8925,-45.335556,"20°53'33""S","045°20'08""W"
MT0022,SWFX,São Félix do Araguaia,Mato Grosso,SÃO FÉLIX DO ARAGUAIA,199.0,-11.6325,-50.689444,"11°37'57""S","050°41'22""W"
PR0029,SSQC,Siqueira Campos,Paraná,SIQUEIRA CAMPOS,705.0,-23.674722,-49.815556,"23°40'29""S","049°48'56""W"
SP0058,SDKK,Mococa,São Paulo,MOCOCA,651.0,-21.487222,-47.033889,"21°29'14""S","047°02'02""W"
MT0021,SWPK,Poconé,Mato Grosso,POCONÉ,185.0,-16.271667,-56.651111,"16°16'18""S","056°39'04""W"
MG0028,SNPX,Pirapora,Minas Gerais,PIRAPORA,551.0,-17.313889,-44.858611,"17°18'50""S","044°51'31""W"
AM0016,SDCG,Senadora Eunice Michiles,Amazonas,SÃO PAULO DE OLIVENÇA,102.0,-3.4691667,-68.921111,"03°28'09""S","068°55'16""W"
MG0026,SNZR,Pedro Rabelo de Souza,Minas Gerais,PARACATU,730.0,-17.242778,-46.883056,"17°14'34""S","046°52'59""W"
SP0067,SDET,Tietê,São Paulo,TIETÊ,501.0,-23.104722,-47.724444,"23°06'17""S","047°43'28""W"
MG0051,SNBM,Cristiano Ferreira Varella,Minas Gerais,MURIAÉ,270.0,-21.128889,-42.366944,"21°07'44""S","042°22'01""W"
PR0025,SSCT,Engenheiro Gastão de Mesquita Filho,Paraná,CIANORTE,540.0,-23.691667,-52.642222,"23°41'30""S","052°38'32""W"
RS0015,SSST,Santiago,Rio Grande do Sul,SANTIAGO,441.0,-29.215,-54.841667,"29°12'54""S","054°50'30""W"
RS0039,SSKS,Brigadeiro Nero Moura,Rio Grande do Sul,CACHOEIRA DO SUL,77.0,-30.002222,-52.940278,"30°00'08""S","052°56'25""W"
RS0050,SSEZ,Espumoso,Rio Grande do Sul,ESPUMOSO,390.0,-28.738056,-52.855556,"28°44'17""S","052°51'20""W"
RS0012,SBUG,Rubem Berta,Rio Grande do Sul,URUGUAIANA,78.0,-29.783333,-57.036944,"29°47'00""S","057°02'13""W"
SP0018,SDBB,Bebedouro,São Paulo,BEBEDOURO,592.0,-20.900278,-48.473611,"20°54'01""S","048°28'25""W"
MG0069,SWUD,Deputado Oswaldo Tolentino,Minas Gerais,CLÁUDIO,820.0,-20.445833,-44.813056,"20°26'45""S","044°48'47""W"
TO0009,SWTY,Taguatinga,Tocantins,TAGUATINGA,597.0,-12.435,-46.400278,"12°26'06""S","046°24'01""W"
RS0037,SSHZ,Walter Bündchen,Rio Grande do Sul,HORIZONTINA,310.0,-27.638333,-54.338889,"27°38'18""S","054°20'20""W"
GO0011,SWUA,São Miguel do Araguaia,Goiás,SÃO MIGUEL DO ARAGUAIA,384.0,-13.333889,-50.205833,"13°20'02""S","050°12'21""W"
