ciad,codigoOACI,airport_name,state,city,altitude,latgeopoint,longeopoint,latitude,longitude
PR0027,SSOG,Arapongas,Paraná,ARAPONGAS,794.0,-23.352778,-51.491667,"23°21'10""S","051°29'30""W"
RJ0002,SBRJ,Santos Dumont,Rio de Janeiro,RIO DE JANEIRO,3.0,-22.91,-43.1625,"22°54'36""S","043°09'45""W"
GO0033,SWME,Mineiros,Goiás,MINEIROS,843.0,-17.551389,-52.556667,"17°33'05""S","052°33'24""W"
RJ0003,SBCB,Cabo Frio,Rio de Janeiro,CABO FRIO,7.0,-22.920833,-42.071389,"22°55'15""S","042°04'17""W"
RJ0005,SBJR,Jacarepaguá - Roberto Marinho,Rio de Janeiro,RIO DE JANEIRO,3.0,-22.9875,-43.37,"22°59'15""S","043°22'12""W"
RJ0006,SBCP,Bartolomeu Lisandro,Rio de Janeiro,CAMPOS DOS GOYTACAZES,18.0,-21.701111,-41.307778,"21°42'04""S","041°18'28""W"
RO0009,SWPM,Pimenta Bueno,Rondônia,PIMENTA BUENO,208.0,-11.641389,-61.178889,"11°38'29""S","061°10'44""W"
RS0005,SBPK,Aeroporto Internacional de Pelotas/RS - João Simões Lopes Neto,Rio Grande do Sul,PELOTAS,18.0,-31.716111,-52.331111,"31°42'58""S","052°19'52""W"
RS0007,SBCX,Hugo Cantergiani,Rio Grande do Sul,CAXIAS DO SUL,754.0,-29.198056,-51.186667,"29°11'53""S","051°11'12""W"
RS0010,SBBG,Comandante Gustavo Kraemer,Rio Grande do Sul,BAGÉ,182.0,-31.390833,-54.109722,"31°23'27""S","054°06'35""W"
RS0011,SSTE,Torres,Rio Grande do Sul,TORRES,9.0,-29.415,-49.81,"29°24'54""S","049°48'36""W"
RS0019,SSCN,Canela,Rio Grande do Sul,CANELA,827.0,-29.370556,-50.832222,"29°22'14""S","050°49'56""W"
SC0002,SBNF,Ministro Victor Konder,Santa Catarina,NAVEGANTES,5.0,-26.878611,-48.650833,"26°52'43""S","048°39'03""W"
SC0004,SBJV,Lauro Carneiro de Loyola,Santa Catarina,JOINVILLE,5.0,-26.223056,-48.797778,"26°13'23""S","048°47'52""W"
SC0007,SBLJ,Lages,Santa Catarina,LAGES,934.0,-27.782222,-50.281667,"27°46'56""S","050°16'54""W"
SP0011,SIMK,Tenente Lund Pressoto,São Paulo,FRANCA,1003.0,-20.590278,-47.3825,"20°35'25""S","047°22'57""W"
SP0014,SBML,Frank Miloye Milenkovich,São Paulo,MARÍLIA,650.0,-22.196944,-49.926389,"22°11'49""S","049°55'35""W"
SP0021,SDDR,Dracena,São Paulo,DRACENA,372.0,-21.460556,-51.606944,"21°27'38""S","051°36'25""W"
SC0009,SSIM,Forquilhinha-Criciúma,Santa Catarina,FORQUILHINHA,28.0,-28.725833,-49.424722,"28°43'33""S","049°25'29""W"
SC0010,SSCK,Olavo Cecco Rigon,Santa Catarina,CONCÓRDIA,751.0,-27.180556,-52.051111,"27°10'50""S","052°03'04""W"
SP0001,SBSP,São Paulo/Congonhas - Deputado Freitas Nobre,São Paulo,SÃO PAULO,802.0,-23.626111,-46.656389,"23°37'34""S","046°39'23""W"
SP0006,SBSR,Professor Eribelto Manoel Reino,São Paulo,SÃO JOSÉ DO RIO PRETO,544.0,-20.817222,-49.406944,"20°49'02""S","049°24'25""W"
SP0007,SBMT,Campo de Marte,São Paulo,SÃO PAULO,723.0,-23.509167,-46.6375,"23°30'33""S","046°38'15""W"
SP0008,SBSJ,Professor Urbano Ernesto Stumpf,São Paulo,SÃO JOSÉ DOS CAMPOS,647.0,-23.228889,-45.871111,"23°13'44""S","045°52'16""W"
SP0015,SWXQ,Lins,São Paulo,LINS,480.0,-21.662778,-49.731111,"21°39'46""S","049°43'52""W"
SP0016,SNAX,Marcelo Pires Halzhausen,São Paulo,ASSIS,564.0,-22.638611,-50.455833,"22°38'19""S","050°27'21""W"
SP0017,SBBU,Bauru,São Paulo,BAURU,617.0,-22.345,-49.053889,"22°20'42""S","049°03'14""W"
SP0023,SDOU,Jornalista Benedito Pimentel,São Paulo,OURINHOS,462.0,-22.973611,-49.911389,"22°58'25""S","049°54'41""W"
SP0024,SDPN,Penápolis,São Paulo,PENÁPOLIS,412.0,-21.41,-50.033611,"21°24'36""S","050°02'01""W"
SP0029,SDSC,Mário Pereira Lopes,São Paulo,SÃO CARLOS,807.0,-21.876389,-47.903333,"21°52'35""S","047°54'12""W"
SP0031,SBJD,Comandante Rolim Adolfo Amaro,São Paulo,JUNDIAÍ,753.0,-23.181667,-46.943611,"23°10'54""S","046°56'37""W"
SP0034,SDLP,Municipal José Boso,São Paulo,LENÇÓIS PAULISTA,621.0,-22.578333,-48.774444,"22°34'42""S","048°46'28""W"
SP0036,SBBP,Estadual Arthur Siqueira,São Paulo,BRAGANÇA PAULISTA,893.0,-22.978889,-46.537222,"22°58'44""S","046°32'14""W"
SP0037,SDAM,Estadual de Campos Dos Amarais - Prefeito Francisco Amaral,São Paulo,CAMPINAS,612.0,-22.859167,-47.108056,"22°51'33""S","047°06'29""W"
SP0041,SDPW,Pedro Morganti,São Paulo,PIRACICABA,584.0,-22.711944,-47.618056,"22°42'43""S","047°37'05""W"
SP0061,SDNO,Nelson Garófalo,São Paulo,SÃO MANUEL,734.0,-22.696111,-48.576111,"22°41'46""S","048°34'34""W"
TO0002,SWGN,Araguaína,Tocantins,ARAGUAÍNA,236.0,-7.2283333,-48.240833,"07°13'42""S","048°14'27""W"
TO0004,SWGI,Gurupi,Tocantins,GURUPI,350.0,-11.739444,-49.133333,"11°44'22""S","049°08'00""W"
